"id","qa","questionType"
"1","{""answer"": ""94.35"", ""evidence"": [{""企业指标"": {""雇员同比增减幅"": ""28.63 %""}}, {""企业"": {""企业名称"": ""康盛康健药业股份公司""}}, {""行业"": {""行业名称"": ""医药制造业""}}, {""产业指标数据"": {""行业"": ""医药制造业"", ""雇员同比增减幅最小值"": ""-65.72 %""}}], ""question"": ""2022年康盛康健药业股份公司的雇员同比增减幅与该行业最低水平相比，差值是多少？"", ""reference"": [{""ragCompanyData"": ""aca07f14-a552-49a7-8fd9-cf23d30d5f81""}, {""ragCountryIndustryData"": ""9c71278e-97a3-4867-826d-e139f1dffc24""}, {""ragCompany"": ""e655979a-a163-45f2-806f-97922582ee4d""}]}","combination:企业指标-行业-产业指标数据"
"2","{""answer"": ""-958.60986547085"", ""evidence"": [{""企业指标"": {""雇员总数"": ""2099.0 人""}}, {""企业"": {""企业名称"": ""康盛康健药业股份公司""}}, {""行业"": {""行业名称"": ""医药制造业""}}, {""产业指标数据"": {""行业"": ""医药制造业"", ""雇员总数均值"": ""3057.60986547085 人""}}], ""question"": ""2022年康盛康健药业股份公司的雇员总数与行业平均水平相比，差值多少人？"", ""reference"": [{""ragCompanyData"": ""aca07f14-a552-49a7-8fd9-cf23d30d5f81""}, {""ragCountryIndustryData"": ""9c71278e-97a3-4867-826d-e139f1dffc24""}, {""ragCompany"": ""e655979a-a163-45f2-806f-97922582ee4d""}]}","combination:企业指标-行业-产业指标数据"
"3","{""answer"": ""众集达昌铜业公司"", ""evidence"": [{""企业指标"": {""累计所有专利被引用数"": ""558 件""}}, {""企业"": {""企业名称"": ""众集达昌铜业公司""}}, {""行业"": {""行业名称"": ""金属制品业""}}, {""产业指标数据"": {""行业"": ""金属制品业"", ""累计所有专利被引用数中位数"": ""484 件""}}], ""question"": ""2022年众集达昌铜业公司的累计所有专利被引用数与行业标准相比，哪个更高？"", ""reference"": [{""ragCompanyData"": ""05e7a409-b175-4fb1-8382-54f744f20a46""}, {""ragCountryIndustryData"": ""02c91882-76b2-45b4-abcf-3db6194fb2de""}, {""ragCompany"": ""b6494485-93ab-4705-ab72-0aa551d2f1d6""}]}","combination:企业指标-行业-产业指标数据"
"4","{""answer"": ""493355813.605"", ""evidence"": [{""企业指标"": {""总负债"": ""5309105105.07 元""}}, {""企业"": {""企业名称"": ""众海工筑锦建筑设计公司""}}, {""行业"": {""行业名称"": ""建筑业""}}, {""产业指标数据"": {""行业"": ""建筑业"", ""总负债中位数"": ""4815749291.465 元""}}], ""question"": ""2022年众海工筑锦建筑设计公司的总负债与所在行业的总负债中位数相比，差值多少？"", ""reference"": [{""ragCompanyData"": ""64cdaeda-369d-4d2e-9214-a7e2cb75edb0""}, {""ragCountryIndustryData"": ""a3ea618e-b6c2-4ae4-a46d-7d4fafa9aff9""}, {""ragCompany"": ""6e6b4e87-8925-4b4b-a3d5-8f4e80099348""}]}","combination:企业指标-行业-产业指标数据"
"5","{""answer"": ""众海工筑锦建筑设计公司"", ""evidence"": [{""企业指标"": {""营业利润同比增减幅"": ""-263.46 %""}}, {""企业"": {""企业名称"": ""众海工筑锦建筑设计公司""}}, {""行业"": {""行业名称"": ""建筑业""}}, {""产业指标数据"": {""行业"": ""建筑业"", ""营业利润同比增减幅均值"": ""-80.1477027027027 %""}}], ""question"": ""2022年众海工筑锦建筑设计公司的营业利润同比增减幅与其所在行业的该指标均值相比，哪个更低？"", ""reference"": [{""ragCompanyData"": ""64cdaeda-369d-4d2e-9214-a7e2cb75edb0""}, {""ragCountryIndustryData"": ""a3ea618e-b6c2-4ae4-a46d-7d4fafa9aff9""}, {""ragCompany"": ""6e6b4e87-8925-4b4b-a3d5-8f4e80099348""}]}","combination:企业指标-行业-产业指标数据"
"6","{""answer"": ""-65010.0"", ""evidence"": [{""企业指标"": {""雇员总数"": ""2367.0 人""}}, {""企业"": {""企业名称"": ""陵有色冶达资源公司""}}, {""行业"": {""行业名称"": ""金属冶炼和压延加工业""}}, {""产业指标数据"": {""行业"": ""金属冶炼和压延加工业"", ""雇员总数最大值"": ""67377 人""}}], ""question"": ""2022年陵有色冶达资源公司的雇员总数与该行业最大值相比，差值是多少人？"", ""reference"": [{""ragCompanyData"": ""81e70393-8c21-444e-b99c-35cd45ea16b3""}, {""ragCountryIndustryData"": ""e12e3329-0ab1-4bf1-b19d-0a5c9610b5ce""}, {""ragCompany"": ""be102125-d7e2-475a-8217-540be0ab9101""}]}","combination:企业指标-行业-产业指标数据"
"7","{""answer"": ""2110.42"", ""evidence"": [{""企业指标"": {""净利润同比增减幅"": ""-38.88 %""}}, {""企业"": {""企业名称"": ""陵有色冶达资源公司""}}, {""行业"": {""行业名称"": ""金属冶炼和压延加工业""}}, {""产业指标数据"": {""行业"": ""金属冶炼和压延加工业"", ""净利润同比增减幅最小值"": ""-2149.3 %""}}], ""question"": ""2022年陵有色冶达资源公司的净利润同比增减幅与其所在行业的净利润同比增减幅最小值相比，差值是多少？"", ""reference"": [{""ragCompanyData"": ""81e70393-8c21-444e-b99c-35cd45ea16b3""}, {""ragCountryIndustryData"": ""e12e3329-0ab1-4bf1-b19d-0a5c9610b5ce""}, {""ragCompany"": ""be102125-d7e2-475a-8217-540be0ab9101""}]}","combination:企业指标-行业-产业指标数据"
"8","{""answer"": ""行业"", ""evidence"": [{""企业指标"": {""雇员同比增减幅"": ""12.61 %""}}, {""企业"": {""企业名称"": ""用丰信创科技公司""}}, {""行业"": {""行业名称"": ""信息传输、软件和信息技术服务业""}}, {""产业指标数据"": {""行业"": ""信息传输、软件和信息技术服务业"", ""雇员同比增减幅最大值"": ""416.95 %""}}], ""question"": ""2022年用丰信创科技公司的雇员同比增减幅与其所在行业的雇员同比增减幅最大值相比，哪个更高？"", ""reference"": [{""ragCompanyData"": ""978a253c-f9e9-447b-8c57-ad0c50c7f58c""}, {""ragCountryIndustryData"": ""52cd1497-bff9-43db-b3a1-001e4cac545c""}, {""ragCompany"": ""2c82af76-a0ee-4655-baf5-b1206c9ac103""}]}","combination:企业指标-行业-产业指标数据"
"9","{""answer"": ""是"", ""evidence"": [{""企业指标"": {""净利润同比增减幅"": ""40.82 %""}}, {""企业"": {""企业名称"": ""用丰信创科技公司""}}, {""行业"": {""行业名称"": ""信息传输、软件和信息技术服务业""}}, {""产业指标数据"": {""行业"": ""信息传输、软件和信息技术服务业"", ""净利润同比增减幅中位数"": ""-15.96 %""}}], ""question"": ""2022年用丰信创科技公司的净利润同比增减幅是否高于其所在行业的净利润同比增减幅中位数？"", ""reference"": [{""ragCompanyData"": ""978a253c-f9e9-447b-8c57-ad0c50c7f58c""}, {""ragCountryIndustryData"": ""52cd1497-bff9-43db-b3a1-001e4cac545c""}, {""ragCompany"": ""2c82af76-a0ee-4655-baf5-b1206c9ac103""}]}","combination:企业指标-行业-产业指标数据"
"10","{""answer"": ""-1738758524.92"", ""evidence"": [{""企业指标"": {""营业利润金额"": ""-41697747.51 元""}}, {""企业"": {""企业名称"": ""连机创机机床公司""}}, {""省份"": {""省份名称"": ""安徽省""}}, {""地区产业指标数据"": {""省份"": ""安徽省"", ""行业"": ""水利、环境和公共设施管理业"", ""营业利润金额合计"": ""1697060777.41 元""}}], ""question"": ""2022年连机创机机床公司的营业利润金额与其所在省份的同业营业利润金额合计相比，差值是多少？"", ""reference"": [{""ragCompanyData"": ""a81bbdaf-4973-42a6-92c1-d9aeced396da""}, {""ragDistrictIndustryData"": ""9827d220-2c11-4ff3-ac01-b163706f67b3""}, {""ragCompany"": ""ba97b51b-d1a5-4e35-b2c9-d975b493d133""}]}","combination:企业指标-省份-地区产业指标"
